Territorio;Sexo;Curso escolar;Valor
España;Total;2018-2019;322736
Andalucía;Total;2018-2019;63049
Aragón;Total;2018-2019;8778
Asturias, Principado de;Total;2018-2019;5529
Balears, Illes;Total;2018-2019;7217
Canarias;Total;2018-2019;12472
Cantabria;Total;2018-2019;4141
Castilla y León;Total;2018-2019;14976
Castilla-La Mancha;Total;2018-2019;14184
Cataluña;Total;2018-2019;60171
Comunitat Valenciana;Total;2018-2019;41631
Extremadura;Total;2018-2019;7125
Galicia;Total;2018-2019;18382
Madrid, Comunidad de;Total;2018-2019;32474
Murcia, Región de;Total;2018-2019;9931
Navarra, Comunidad Foral de;Total;2018-2019;4049
País Vasco;Total;2018-2019;14582
Rioja, La;Total;2018-2019;2524
Ceuta;Total;2018-2019;874
Melilla;Total;2018-2019;647
España;Total;2017-2018;319269
Andalucía;Total;2017-2018;60787
Aragón;Total;2017-2018;8778
Asturias, Principado de;Total;2017-2018;5447
Balears, Illes;Total;2017-2018;6634
Canarias;Total;2017-2018;12955
Cantabria;Total;2017-2018;4082
Castilla y León;Total;2017-2018;15084
Castilla-La Mancha;Total;2017-2018;14024
Cataluña;Total;2017-2018;59395
Comunitat Valenciana;Total;2017-2018;40917
Extremadura;Total;2017-2018;7222
Galicia;Total;2017-2018;18423
Madrid, Comunidad de;Total;2017-2018;33183
Murcia, Región de;Total;2017-2018;9883
Navarra, Comunidad Foral de;Total;2017-2018;3939
País Vasco;Total;2017-2018;14531
Rioja, La;Total;2017-2018;2446
Ceuta;Total;2017-2018;879
Melilla;Total;2017-2018;660
España;Total;2016-2017;319392
Andalucía;Total;2016-2017;61269
Aragón;Total;2016-2017;8372
Asturias, Principado de;Total;2016-2017;5672
Balears, Illes;Total;2016-2017;6463
Canarias;Total;2016-2017;13742
Cantabria;Total;2016-2017;4162
Castilla y León;Total;2016-2017;15575
Castilla-La Mancha;Total;2016-2017;14710
Cataluña;Total;2016-2017;57657
Comunitat Valenciana;Total;2016-2017;41756
Extremadura;Total;2016-2017;7363
Galicia;Total;2016-2017;19026
Madrid, Comunidad de;Total;2016-2017;32602
Murcia, Región de;Total;2016-2017;9405
Navarra, Comunidad Foral de;Total;2016-2017;3682
País Vasco;Total;2016-2017;13939
Rioja, La;Total;2016-2017;2460
Ceuta;Total;2016-2017;822
Melilla;Total;2016-2017;715
España;Total;2015-2016;327134
Andalucía;Total;2015-2016;62679
Aragón;Total;2015-2016;8391
Asturias, Principado de;Total;2015-2016;6038
Balears, Illes;Total;2015-2016;6423
Canarias;Total;2015-2016;14351
Cantabria;Total;2015-2016;4207
Castilla y León;Total;2015-2016;16508
Castilla-La Mancha;Total;2015-2016;15295
Cataluña;Total;2015-2016;59492
Comunitat Valenciana;Total;2015-2016;43011
Extremadura;Total;2015-2016;7451
Galicia;Total;2015-2016;19807
Madrid, Comunidad de;Total;2015-2016;32734
Murcia, Región de;Total;2015-2016;9554
Navarra, Comunidad Foral de;Total;2015-2016;3695
País Vasco;Total;2015-2016;13636
Rioja, La;Total;2015-2016;2495
Ceuta;Total;2015-2016;663
Melilla;Total;2015-2016;704
España;Total;2014-2015;333541
Andalucía;Total;2014-2015;62709
Aragón;Total;2014-2015;9222
Asturias, Principado de;Total;2014-2015;6595
Balears, Illes;Total;2014-2015;6384
Canarias;Total;2014-2015;14915
Cantabria;Total;2014-2015;4729
Castilla y León;Total;2014-2015;18056
Castilla-La Mancha;Total;2014-2015;15670
Cataluña;Total;2014-2015;58191
Comunitat Valenciana;Total;2014-2015;43356
Extremadura;Total;2014-2015;7749
Galicia;Total;2014-2015;20969
Madrid, Comunidad de;Total;2014-2015;33618
Murcia, Región de;Total;2014-2015;10143
Navarra, Comunidad Foral de;Total;2014-2015;3644
País Vasco;Total;2014-2015;13624
Rioja, La;Total;2014-2015;2551
Ceuta;Total;2014-2015;707
Melilla;Total;2014-2015;709
España;Hombres;2018-2019;186246
Andalucía;Hombres;2018-2019;35427
Aragón;Hombres;2018-2019;5220
Asturias, Principado de;Hombres;2018-2019;3178
Balears, Illes;Hombres;2018-2019;4104
Canarias;Hombres;2018-2019;7370
Cantabria;Hombres;2018-2019;2321
Castilla y León;Hombres;2018-2019;8518
Castilla-La Mancha;Hombres;2018-2019;7734
Cataluña;Hombres;2018-2019;36028
Comunitat Valenciana;Hombres;2018-2019;23416
Extremadura;Hombres;2018-2019;3815
Galicia;Hombres;2018-2019;10751
Madrid, Comunidad de;Hombres;2018-2019;18544
Murcia, Región de;Hombres;2018-2019;5510
Navarra, Comunidad Foral de;Hombres;2018-2019;2565
País Vasco;Hombres;2018-2019;9548
Rioja, La;Hombres;2018-2019;1460
Ceuta;Hombres;2018-2019;389
Melilla;Hombres;2018-2019;348
España;Hombres;2017-2018;184942
Andalucía;Hombres;2017-2018;34338
Aragón;Hombres;2017-2018;5315
Asturias, Principado de;Hombres;2017-2018;3189
Balears, Illes;Hombres;2017-2018;3702
Canarias;Hombres;2017-2018;7758
Cantabria;Hombres;2017-2018;2273
Castilla y León;Hombres;2017-2018;8483
Castilla-La Mancha;Hombres;2017-2018;7693
Cataluña;Hombres;2017-2018;35527
Comunitat Valenciana;Hombres;2017-2018;23247
Extremadura;Hombres;2017-2018;3841
Galicia;Hombres;2017-2018;10683
Madrid, Comunidad de;Hombres;2017-2018;19095
Murcia, Región de;Hombres;2017-2018;5521
Navarra, Comunidad Foral de;Hombres;2017-2018;2525
País Vasco;Hombres;2017-2018;9575
Rioja, La;Hombres;2017-2018;1387
Ceuta;Hombres;2017-2018;417
Melilla;Hombres;2017-2018;373
España;Hombres;2016-2017;184460
Andalucía;Hombres;2016-2017;34393
Aragón;Hombres;2016-2017;5096
Asturias, Principado de;Hombres;2016-2017;3323
Balears, Illes;Hombres;2016-2017;3556
Canarias;Hombres;2016-2017;8247
Cantabria;Hombres;2016-2017;2367
Castilla y León;Hombres;2016-2017;8795
Castilla-La Mancha;Hombres;2016-2017;7957
Cataluña;Hombres;2016-2017;34373
Comunitat Valenciana;Hombres;2016-2017;23655
Extremadura;Hombres;2016-2017;3878
Galicia;Hombres;2016-2017;11132
Madrid, Comunidad de;Hombres;2016-2017;18682
Murcia, Región de;Hombres;2016-2017;5303
Navarra, Comunidad Foral de;Hombres;2016-2017;2366
País Vasco;Hombres;2016-2017;9127
Rioja, La;Hombres;2016-2017;1373
Ceuta;Hombres;2016-2017;419
Melilla;Hombres;2016-2017;418
España;Hombres;2015-2016;188772
Andalucía;Hombres;2015-2016;34952
Aragón;Hombres;2015-2016;5020
Asturias, Principado de;Hombres;2015-2016;3536
Balears, Illes;Hombres;2015-2016;3555
Canarias;Hombres;2015-2016;8518
Cantabria;Hombres;2015-2016;2380
Castilla y León;Hombres;2015-2016;9382
Castilla-La Mancha;Hombres;2015-2016;8359
Cataluña;Hombres;2015-2016;35766
Comunitat Valenciana;Hombres;2015-2016;24408
Extremadura;Hombres;2015-2016;3858
Galicia;Hombres;2015-2016;11644
Madrid, Comunidad de;Hombres;2015-2016;18660
Murcia, Región de;Hombres;2015-2016;5435
Navarra, Comunidad Foral de;Hombres;2015-2016;2302
País Vasco;Hombres;2015-2016;8962
Rioja, La;Hombres;2015-2016;1365
Ceuta;Hombres;2015-2016;281
Melilla;Hombres;2015-2016;389
España;Hombres;2014-2015;192764
Andalucía;Hombres;2014-2015;35033
Aragón;Hombres;2014-2015;5555
Asturias, Principado de;Hombres;2014-2015;3839
Balears, Illes;Hombres;2014-2015;3531
Canarias;Hombres;2014-2015;8742
Cantabria;Hombres;2014-2015;2688
Castilla y León;Hombres;2014-2015;10349
Castilla-La Mancha;Hombres;2014-2015;8526
Cataluña;Hombres;2014-2015;34944
Comunitat Valenciana;Hombres;2014-2015;24529
Extremadura;Hombres;2014-2015;4070
Galicia;Hombres;2014-2015;12378
Madrid, Comunidad de;Hombres;2014-2015;19495
Murcia, Región de;Hombres;2014-2015;5825
Navarra, Comunidad Foral de;Hombres;2014-2015;2271
País Vasco;Hombres;2014-2015;8865
Rioja, La;Hombres;2014-2015;1412
Ceuta;Hombres;2014-2015;315
Melilla;Hombres;2014-2015;397
España;Mujeres;2018-2019;136490
Andalucía;Mujeres;2018-2019;27622
Aragón;Mujeres;2018-2019;3558
Asturias, Principado de;Mujeres;2018-2019;2351
Balears, Illes;Mujeres;2018-2019;3113
Canarias;Mujeres;2018-2019;5102
Cantabria;Mujeres;2018-2019;1820
Castilla y León;Mujeres;2018-2019;6458
Castilla-La Mancha;Mujeres;2018-2019;6450
Cataluña;Mujeres;2018-2019;24143
Comunitat Valenciana;Mujeres;2018-2019;18215
Extremadura;Mujeres;2018-2019;3310
Galicia;Mujeres;2018-2019;7631
Madrid, Comunidad de;Mujeres;2018-2019;13930
Murcia, Región de;Mujeres;2018-2019;4421
Navarra, Comunidad Foral de;Mujeres;2018-2019;1484
País Vasco;Mujeres;2018-2019;5034
Rioja, La;Mujeres;2018-2019;1064
Ceuta;Mujeres;2018-2019;485
Melilla;Mujeres;2018-2019;299
España;Mujeres;2017-2018;134327
Andalucía;Mujeres;2017-2018;26449
Aragón;Mujeres;2017-2018;3463
Asturias, Principado de;Mujeres;2017-2018;2258
Balears, Illes;Mujeres;2017-2018;2932
Canarias;Mujeres;2017-2018;5197
Cantabria;Mujeres;2017-2018;1809
Castilla y León;Mujeres;2017-2018;6601
Castilla-La Mancha;Mujeres;2017-2018;6331
Cataluña;Mujeres;2017-2018;23868
Comunitat Valenciana;Mujeres;2017-2018;17670
Extremadura;Mujeres;2017-2018;3381
Galicia;Mujeres;2017-2018;7740
Madrid, Comunidad de;Mujeres;2017-2018;14088
Murcia, Región de;Mujeres;2017-2018;4362
Navarra, Comunidad Foral de;Mujeres;2017-2018;1414
País Vasco;Mujeres;2017-2018;4956
Rioja, La;Mujeres;2017-2018;1059
Ceuta;Mujeres;2017-2018;462
Melilla;Mujeres;2017-2018;287
España;Mujeres;2016-2017;134932
Andalucía;Mujeres;2016-2017;26876
Aragón;Mujeres;2016-2017;3276
Asturias, Principado de;Mujeres;2016-2017;2349
Balears, Illes;Mujeres;2016-2017;2907
Canarias;Mujeres;2016-2017;5495
Cantabria;Mujeres;2016-2017;1795
Castilla y León;Mujeres;2016-2017;6780
Castilla-La Mancha;Mujeres;2016-2017;6753
Cataluña;Mujeres;2016-2017;23284
Comunitat Valenciana;Mujeres;2016-2017;18101
Extremadura;Mujeres;2016-2017;3485
Galicia;Mujeres;2016-2017;7894
Madrid, Comunidad de;Mujeres;2016-2017;13920
Murcia, Región de;Mujeres;2016-2017;4102
Navarra, Comunidad Foral de;Mujeres;2016-2017;1316
País Vasco;Mujeres;2016-2017;4812
Rioja, La;Mujeres;2016-2017;1087
Ceuta;Mujeres;2016-2017;403
Melilla;Mujeres;2016-2017;297
España;Mujeres;2015-2016;138362
Andalucía;Mujeres;2015-2016;27727
Aragón;Mujeres;2015-2016;3371
Asturias, Principado de;Mujeres;2015-2016;2502
Balears, Illes;Mujeres;2015-2016;2868
Canarias;Mujeres;2015-2016;5833
Cantabria;Mujeres;2015-2016;1827
Castilla y León;Mujeres;2015-2016;7126
Castilla-La Mancha;Mujeres;2015-2016;6936
Cataluña;Mujeres;2015-2016;23726
Comunitat Valenciana;Mujeres;2015-2016;18603
Extremadura;Mujeres;2015-2016;3593
Galicia;Mujeres;2015-2016;8163
Madrid, Comunidad de;Mujeres;2015-2016;14074
Murcia, Región de;Mujeres;2015-2016;4119
Navarra, Comunidad Foral de;Mujeres;2015-2016;1393
País Vasco;Mujeres;2015-2016;4674
Rioja, La;Mujeres;2015-2016;1130
Ceuta;Mujeres;2015-2016;382
Melilla;Mujeres;2015-2016;315
España;Mujeres;2014-2015;140777
Andalucía;Mujeres;2014-2015;27676
Aragón;Mujeres;2014-2015;3667
Asturias, Principado de;Mujeres;2014-2015;2756
Balears, Illes;Mujeres;2014-2015;2853
Canarias;Mujeres;2014-2015;6173
Cantabria;Mujeres;2014-2015;2041
Castilla y León;Mujeres;2014-2015;7707
Castilla-La Mancha;Mujeres;2014-2015;7144
Cataluña;Mujeres;2014-2015;23247
Comunitat Valenciana;Mujeres;2014-2015;18827
Extremadura;Mujeres;2014-2015;3679
Galicia;Mujeres;2014-2015;8591
Madrid, Comunidad de;Mujeres;2014-2015;14123
Murcia, Región de;Mujeres;2014-2015;4318
Navarra, Comunidad Foral de;Mujeres;2014-2015;1373
País Vasco;Mujeres;2014-2015;4759
Rioja, La;Mujeres;2014-2015;1139
Ceuta;Mujeres;2014-2015;392
Melilla;Mujeres;2014-2015;312
