Territorio;Sexo;Modalidad;Titularidad del centro;Valor
España;Total;Total;Total;413169
Andalucía;Total;Total;Total;69757
Aragón;Total;Total;Total;11493
Asturias, Principado de;Total;Total;Total;9181
Balears, Illes;Total;Total;Total;6181
Canarias;Total;Total;Total;21240
Cantabria;Total;Total;Total;6347
Castilla y León;Total;Total;Total;19274
Castilla-La Mancha;Total;Total;Total;16709
Cataluña;Total;Total;Total;79635
Comunitat Valenciana;Total;Total;Total;44197
Extremadura;Total;Total;Total;26993
Galicia;Total;Total;Total;25397
Madrid, Comunidad de;Total;Total;Total;51004
Murcia, Región de;Total;Total;Total;12374
Navarra, Comunidad Foral de;Total;Total;Total;4944
País Vasco;Total;Total;Total;22093
Rioja, La;Total;Total;Total;2982
Ceuta;Total;Total;Total;942
Melilla;Total;Total;Total;852
España;Total;Total;Centros públicos;292191
Andalucía;Total;Total;Centros públicos;48646
Aragón;Total;Total;Centros públicos;8625
Asturias, Principado de;Total;Total;Centros públicos;7692
Balears, Illes;Total;Total;Centros públicos;5189
Canarias;Total;Total;Centros públicos;18531
Cantabria;Total;Total;Centros públicos;4737
Castilla y León;Total;Total;Centros públicos;14770
Castilla-La Mancha;Total;Total;Centros públicos;15074
Cataluña;Total;Total;Centros públicos;46072
Comunitat Valenciana;Total;Total;Centros públicos;34516
Extremadura;Total;Total;Centros públicos;19118
Galicia;Total;Total;Centros públicos;21618
Madrid, Comunidad de;Total;Total;Centros públicos;29390
Murcia, Región de;Total;Total;Centros públicos;9291
Navarra, Comunidad Foral de;Total;Total;Centros públicos;3731
País Vasco;Total;Total;Centros públicos;12451
Rioja, La;Total;Total;Centros públicos;2513
Ceuta;Total;Total;Centros públicos;942
Melilla;Total;Total;Centros públicos;852
España;Total;Total;Centros privados;120978
Andalucía;Total;Total;Centros privados;21111
Aragón;Total;Total;Centros privados;2868
Asturias, Principado de;Total;Total;Centros privados;1489
Balears, Illes;Total;Total;Centros privados;992
Canarias;Total;Total;Centros privados;2709
Cantabria;Total;Total;Centros privados;1610
Castilla y León;Total;Total;Centros privados;4504
Castilla-La Mancha;Total;Total;Centros privados;1635
Cataluña;Total;Total;Centros privados;33563
Comunitat Valenciana;Total;Total;Centros privados;9681
Extremadura;Total;Total;Centros privados;7875
Galicia;Total;Total;Centros privados;3779
Madrid, Comunidad de;Total;Total;Centros privados;21614
Murcia, Región de;Total;Total;Centros privados;3083
Navarra, Comunidad Foral de;Total;Total;Centros privados;1213
País Vasco;Total;Total;Centros privados;9642
Rioja, La;Total;Total;Centros privados;469
Ceuta;Total;Total;Centros privados;0
Melilla;Total;Total;Centros privados;0
España;Total;Presencial;Total;353235
Andalucía;Total;Presencial;Total;62378
Aragón;Total;Presencial;Total;9504
Asturias, Principado de;Total;Presencial;Total;7365
Balears, Illes;Total;Presencial;Total;5186
Canarias;Total;Presencial;Total;15019
Cantabria;Total;Presencial;Total;4361
Castilla y León;Total;Presencial;Total;16966
Castilla-La Mancha;Total;Presencial;Total;13289
Cataluña;Total;Presencial;Total;61261
Comunitat Valenciana;Total;Presencial;Total;43513
Extremadura;Total;Presencial;Total;26309
Galicia;Total;Presencial;Total;22095
Madrid, Comunidad de;Total;Presencial;Total;44895
Murcia, Región de;Total;Presencial;Total;10797
Navarra, Comunidad Foral de;Total;Presencial;Total;4053
País Vasco;Total;Presencial;Total;21421
Rioja, La;Total;Presencial;Total;2279
Ceuta;Total;Presencial;Total;798
Melilla;Total;Presencial;Total;730
España;Total;Presencial;Centros públicos;254602
Andalucía;Total;Presencial;Centros públicos;43727
Aragón;Total;Presencial;Centros públicos;6925
Asturias, Principado de;Total;Presencial;Centros públicos;5997
Balears, Illes;Total;Presencial;Centros públicos;4256
Canarias;Total;Presencial;Centros públicos;13368
Cantabria;Total;Presencial;Centros públicos;3100
Castilla y León;Total;Presencial;Centros públicos;12947
Castilla-La Mancha;Total;Presencial;Centros públicos;11972
Cataluña;Total;Presencial;Centros públicos;39794
Comunitat Valenciana;Total;Presencial;Centros públicos;33832
Extremadura;Total;Presencial;Centros públicos;18434
Galicia;Total;Presencial;Centros públicos;18439
Madrid, Comunidad de;Total;Presencial;Centros públicos;27485
Murcia, Región de;Total;Presencial;Centros públicos;8412
Navarra, Comunidad Foral de;Total;Presencial;Centros públicos;2922
País Vasco;Total;Presencial;Centros públicos;11779
Rioja, La;Total;Presencial;Centros públicos;1810
Ceuta;Total;Presencial;Centros públicos;798
Melilla;Total;Presencial;Centros públicos;730
España;Total;Presencial;Centros privados;98633
Andalucía;Total;Presencial;Centros privados;18651
Aragón;Total;Presencial;Centros privados;2579
Asturias, Principado de;Total;Presencial;Centros privados;1368
Balears, Illes;Total;Presencial;Centros privados;930
Canarias;Total;Presencial;Centros privados;1651
Cantabria;Total;Presencial;Centros privados;1261
Castilla y León;Total;Presencial;Centros privados;4019
Castilla-La Mancha;Total;Presencial;Centros privados;1317
Cataluña;Total;Presencial;Centros privados;21467
Comunitat Valenciana;Total;Presencial;Centros privados;9681
Extremadura;Total;Presencial;Centros privados;7875
Galicia;Total;Presencial;Centros privados;3656
Madrid, Comunidad de;Total;Presencial;Centros privados;17410
Murcia, Región de;Total;Presencial;Centros privados;2385
Navarra, Comunidad Foral de;Total;Presencial;Centros privados;1131
País Vasco;Total;Presencial;Centros privados;9642
Rioja, La;Total;Presencial;Centros privados;469
Ceuta;Total;Presencial;Centros privados;0
Melilla;Total;Presencial;Centros privados;0
España;Total;Distancia;Total;59934
Andalucía;Total;Distancia;Total;7379
Aragón;Total;Distancia;Total;1989
Asturias, Principado de;Total;Distancia;Total;1816
Balears, Illes;Total;Distancia;Total;995
Canarias;Total;Distancia;Total;6221
Cantabria;Total;Distancia;Total;1986
Castilla y León;Total;Distancia;Total;2308
Castilla-La Mancha;Total;Distancia;Total;3420
Cataluña;Total;Distancia;Total;18374
Comunitat Valenciana;Total;Distancia;Total;684
Extremadura;Total;Distancia;Total;684
Galicia;Total;Distancia;Total;3302
Madrid, Comunidad de;Total;Distancia;Total;6109
Murcia, Región de;Total;Distancia;Total;1577
Navarra, Comunidad Foral de;Total;Distancia;Total;891
País Vasco;Total;Distancia;Total;672
Rioja, La;Total;Distancia;Total;703
Ceuta;Total;Distancia;Total;144
Melilla;Total;Distancia;Total;122
España;Total;Distancia;Centros públicos;37589
Andalucía;Total;Distancia;Centros públicos;4919
Aragón;Total;Distancia;Centros públicos;1700
Asturias, Principado de;Total;Distancia;Centros públicos;1695
Balears, Illes;Total;Distancia;Centros públicos;933
Canarias;Total;Distancia;Centros públicos;5163
Cantabria;Total;Distancia;Centros públicos;1637
Castilla y León;Total;Distancia;Centros públicos;1823
Castilla-La Mancha;Total;Distancia;Centros públicos;3102
Cataluña;Total;Distancia;Centros públicos;6278
Comunitat Valenciana;Total;Distancia;Centros públicos;684
Extremadura;Total;Distancia;Centros públicos;684
Galicia;Total;Distancia;Centros públicos;3179
Madrid, Comunidad de;Total;Distancia;Centros públicos;1905
Murcia, Región de;Total;Distancia;Centros públicos;879
Navarra, Comunidad Foral de;Total;Distancia;Centros públicos;809
País Vasco;Total;Distancia;Centros públicos;672
Rioja, La;Total;Distancia;Centros públicos;703
Ceuta;Total;Distancia;Centros públicos;144
Melilla;Total;Distancia;Centros públicos;122
España;Total;Distancia;Centros privados;22345
Andalucía;Total;Distancia;Centros privados;2460
Aragón;Total;Distancia;Centros privados;289
Asturias, Principado de;Total;Distancia;Centros privados;121
Balears, Illes;Total;Distancia;Centros privados;62
Canarias;Total;Distancia;Centros privados;1058
Cantabria;Total;Distancia;Centros privados;349
Castilla y León;Total;Distancia;Centros privados;485
Castilla-La Mancha;Total;Distancia;Centros privados;318
Cataluña;Total;Distancia;Centros privados;12096
Comunitat Valenciana;Total;Distancia;Centros privados;0
Extremadura;Total;Distancia;Centros privados;0
Galicia;Total;Distancia;Centros privados;123
Madrid, Comunidad de;Total;Distancia;Centros privados;4204
Murcia, Región de;Total;Distancia;Centros privados;698
Navarra, Comunidad Foral de;Total;Distancia;Centros privados;82
País Vasco;Total;Distancia;Centros privados;0
Rioja, La;Total;Distancia;Centros privados;0
Ceuta;Total;Distancia;Centros privados;0
Melilla;Total;Distancia;Centros privados;0
España;Hombres;Total;Total;216260
Andalucía;Hombres;Total;Total;34927
Aragón;Hombres;Total;Total;6666
Asturias, Principado de;Hombres;Total;Total;5081
Balears, Illes;Hombres;Total;Total;2968
Canarias;Hombres;Total;Total;9877
Cantabria;Hombres;Total;Total;3259
Castilla y León;Hombres;Total;Total;10738
Castilla-La Mancha;Hombres;Total;Total;8673
Cataluña;Hombres;Total;Total;40206
Comunitat Valenciana;Hombres;Total;Total;23285
Extremadura;Hombres;Total;Total;14113
Galicia;Hombres;Total;Total;13595
Madrid, Comunidad de;Hombres;Total;Total;26961
Murcia, Región de;Hombres;Total;Total;6305
Navarra, Comunidad Foral de;Hombres;Total;Total;2922
País Vasco;Hombres;Total;Total;14166
Rioja, La;Hombres;Total;Total;1445
Ceuta;Hombres;Total;Total;347
Melilla;Hombres;Total;Total;360
España;Hombres;Total;Centros públicos;154767
Andalucía;Hombres;Total;Centros públicos;25049
Aragón;Hombres;Total;Centros públicos;4768
Asturias, Principado de;Hombres;Total;Centros públicos;4370
Balears, Illes;Hombres;Total;Centros públicos;2437
Canarias;Hombres;Total;Centros públicos;8728
Cantabria;Hombres;Total;Centros públicos;2590
Castilla y León;Hombres;Total;Centros públicos;8236
Castilla-La Mancha;Hombres;Total;Centros públicos;7922
Cataluña;Hombres;Total;Centros públicos;23848
Comunitat Valenciana;Hombres;Total;Centros públicos;18375
Extremadura;Hombres;Total;Centros públicos;10053
Galicia;Hombres;Total;Centros públicos;11781
Madrid, Comunidad de;Hombres;Total;Centros públicos;15516
Murcia, Región de;Hombres;Total;Centros públicos;4941
Navarra, Comunidad Foral de;Hombres;Total;Centros públicos;2221
País Vasco;Hombres;Total;Centros públicos;8115
Rioja, La;Hombres;Total;Centros públicos;1215
Ceuta;Hombres;Total;Centros públicos;347
Melilla;Hombres;Total;Centros públicos;360
España;Hombres;Total;Centros privados;61493
Andalucía;Hombres;Total;Centros privados;9878
Aragón;Hombres;Total;Centros privados;1898
Asturias, Principado de;Hombres;Total;Centros privados;711
Balears, Illes;Hombres;Total;Centros privados;531
Canarias;Hombres;Total;Centros privados;1149
Cantabria;Hombres;Total;Centros privados;669
Castilla y León;Hombres;Total;Centros privados;2502
Castilla-La Mancha;Hombres;Total;Centros privados;751
Cataluña;Hombres;Total;Centros privados;16358
Comunitat Valenciana;Hombres;Total;Centros privados;4910
Extremadura;Hombres;Total;Centros privados;4060
Galicia;Hombres;Total;Centros privados;1814
Madrid, Comunidad de;Hombres;Total;Centros privados;11445
Murcia, Región de;Hombres;Total;Centros privados;1364
Navarra, Comunidad Foral de;Hombres;Total;Centros privados;701
País Vasco;Hombres;Total;Centros privados;6051
Rioja, La;Hombres;Total;Centros privados;230
Ceuta;Hombres;Total;Centros privados;0
Melilla;Hombres;Total;Centros privados;0
España;Hombres;Presencial;Total;192827
Andalucía;Hombres;Presencial;Total;31494
Aragón;Hombres;Presencial;Total;5899
Asturias, Principado de;Hombres;Presencial;Total;4138
Balears, Illes;Hombres;Presencial;Total;2689
Canarias;Hombres;Presencial;Total;7875
Cantabria;Hombres;Presencial;Total;2408
Castilla y León;Hombres;Presencial;Total;9875
Castilla-La Mancha;Hombres;Presencial;Total;7272
Cataluña;Hombres;Presencial;Total;33564
Comunitat Valenciana;Hombres;Presencial;Total;23018
Extremadura;Hombres;Presencial;Total;13846
Galicia;Hombres;Presencial;Total;12039
Madrid, Comunidad de;Hombres;Presencial;Total;24844
Murcia, Región de;Hombres;Presencial;Total;5715
Navarra, Comunidad Foral de;Hombres;Presencial;Total;2463
País Vasco;Hombres;Presencial;Total;13685
Rioja, La;Hombres;Presencial;Total;1267
Ceuta;Hombres;Presencial;Total;328
Melilla;Hombres;Presencial;Total;351
España;Hombres;Presencial;Centros públicos;140019
Andalucía;Hombres;Presencial;Centros públicos;22813
Aragón;Hombres;Presencial;Centros públicos;4193
Asturias, Principado de;Hombres;Presencial;Centros públicos;3475
Balears, Illes;Hombres;Presencial;Centros públicos;2176
Canarias;Hombres;Presencial;Centros públicos;7060
Cantabria;Hombres;Presencial;Centros públicos;1847
Castilla y León;Hombres;Presencial;Centros públicos;7624
Castilla-La Mancha;Hombres;Presencial;Centros públicos;6639
Cataluña;Hombres;Presencial;Centros públicos;21632
Comunitat Valenciana;Hombres;Presencial;Centros públicos;18108
Extremadura;Hombres;Presencial;Centros públicos;9786
Galicia;Hombres;Presencial;Centros públicos;10286
Madrid, Comunidad de;Hombres;Presencial;Centros públicos;15053
Murcia, Región de;Hombres;Presencial;Centros públicos;4597
Navarra, Comunidad Foral de;Hombres;Presencial;Centros públicos;1794
País Vasco;Hombres;Presencial;Centros públicos;7634
Rioja, La;Hombres;Presencial;Centros públicos;1037
Ceuta;Hombres;Presencial;Centros públicos;328
Melilla;Hombres;Presencial;Centros públicos;351
España;Hombres;Presencial;Centros privados;52808
Andalucía;Hombres;Presencial;Centros privados;8681
Aragón;Hombres;Presencial;Centros privados;1706
Asturias, Principado de;Hombres;Presencial;Centros privados;663
Balears, Illes;Hombres;Presencial;Centros privados;513
Canarias;Hombres;Presencial;Centros privados;815
Cantabria;Hombres;Presencial;Centros privados;561
Castilla y León;Hombres;Presencial;Centros privados;2251
Castilla-La Mancha;Hombres;Presencial;Centros privados;633
Cataluña;Hombres;Presencial;Centros privados;11932
Comunitat Valenciana;Hombres;Presencial;Centros privados;4910
Extremadura;Hombres;Presencial;Centros privados;4060
Galicia;Hombres;Presencial;Centros privados;1753
Madrid, Comunidad de;Hombres;Presencial;Centros privados;9791
Murcia, Región de;Hombres;Presencial;Centros privados;1118
Navarra, Comunidad Foral de;Hombres;Presencial;Centros privados;669
País Vasco;Hombres;Presencial;Centros privados;6051
Rioja, La;Hombres;Presencial;Centros privados;230
Ceuta;Hombres;Presencial;Centros privados;0
Melilla;Hombres;Presencial;Centros privados;0
España;Hombres;Distancia;Total;23433
Andalucía;Hombres;Distancia;Total;3433
Aragón;Hombres;Distancia;Total;767
Asturias, Principado de;Hombres;Distancia;Total;943
Balears, Illes;Hombres;Distancia;Total;279
Canarias;Hombres;Distancia;Total;2002
Cantabria;Hombres;Distancia;Total;851
Castilla y León;Hombres;Distancia;Total;863
Castilla-La Mancha;Hombres;Distancia;Total;1401
Cataluña;Hombres;Distancia;Total;6642
Comunitat Valenciana;Hombres;Distancia;Total;267
Extremadura;Hombres;Distancia;Total;267
Galicia;Hombres;Distancia;Total;1556
Madrid, Comunidad de;Hombres;Distancia;Total;2117
Murcia, Región de;Hombres;Distancia;Total;590
Navarra, Comunidad Foral de;Hombres;Distancia;Total;459
País Vasco;Hombres;Distancia;Total;481
Rioja, La;Hombres;Distancia;Total;178
Ceuta;Hombres;Distancia;Total;19
Melilla;Hombres;Distancia;Total;9
España;Hombres;Distancia;Centros públicos;14748
Andalucía;Hombres;Distancia;Centros públicos;2236
Aragón;Hombres;Distancia;Centros públicos;575
Asturias, Principado de;Hombres;Distancia;Centros públicos;895
Balears, Illes;Hombres;Distancia;Centros públicos;261
Canarias;Hombres;Distancia;Centros públicos;1668
Cantabria;Hombres;Distancia;Centros públicos;743
Castilla y León;Hombres;Distancia;Centros públicos;612
Castilla-La Mancha;Hombres;Distancia;Centros públicos;1283
Cataluña;Hombres;Distancia;Centros públicos;2216
Comunitat Valenciana;Hombres;Distancia;Centros públicos;267
Extremadura;Hombres;Distancia;Centros públicos;267
Galicia;Hombres;Distancia;Centros públicos;1495
Madrid, Comunidad de;Hombres;Distancia;Centros públicos;463
Murcia, Región de;Hombres;Distancia;Centros públicos;344
Navarra, Comunidad Foral de;Hombres;Distancia;Centros públicos;427
País Vasco;Hombres;Distancia;Centros públicos;481
Rioja, La;Hombres;Distancia;Centros públicos;178
Ceuta;Hombres;Distancia;Centros públicos;19
Melilla;Hombres;Distancia;Centros públicos;9
España;Hombres;Distancia;Centros privados;8685
Andalucía;Hombres;Distancia;Centros privados;1197
Aragón;Hombres;Distancia;Centros privados;192
Asturias, Principado de;Hombres;Distancia;Centros privados;48
Balears, Illes;Hombres;Distancia;Centros privados;18
Canarias;Hombres;Distancia;Centros privados;334
Cantabria;Hombres;Distancia;Centros privados;108
Castilla y León;Hombres;Distancia;Centros privados;251
Castilla-La Mancha;Hombres;Distancia;Centros privados;118
Cataluña;Hombres;Distancia;Centros privados;4426
Comunitat Valenciana;Hombres;Distancia;Centros privados;0
Extremadura;Hombres;Distancia;Centros privados;0
Galicia;Hombres;Distancia;Centros privados;61
Madrid, Comunidad de;Hombres;Distancia;Centros privados;1654
Murcia, Región de;Hombres;Distancia;Centros privados;246
Navarra, Comunidad Foral de;Hombres;Distancia;Centros privados;32
País Vasco;Hombres;Distancia;Centros privados;0
Rioja, La;Hombres;Distancia;Centros privados;0
Ceuta;Hombres;Distancia;Centros privados;0
Melilla;Hombres;Distancia;Centros privados;0
España;Mujeres;Total;Total;196909
Andalucía;Mujeres;Total;Total;34830
Aragón;Mujeres;Total;Total;4827
Asturias, Principado de;Mujeres;Total;Total;4100
Balears, Illes;Mujeres;Total;Total;3213
Canarias;Mujeres;Total;Total;11363
Cantabria;Mujeres;Total;Total;3088
Castilla y León;Mujeres;Total;Total;8536
Castilla-La Mancha;Mujeres;Total;Total;8036
Cataluña;Mujeres;Total;Total;39429
Comunitat Valenciana;Mujeres;Total;Total;20912
Extremadura;Mujeres;Total;Total;12880
Galicia;Mujeres;Total;Total;11802
Madrid, Comunidad de;Mujeres;Total;Total;24043
Murcia, Región de;Mujeres;Total;Total;6069
Navarra, Comunidad Foral de;Mujeres;Total;Total;2022
País Vasco;Mujeres;Total;Total;7927
Rioja, La;Mujeres;Total;Total;1537
Ceuta;Mujeres;Total;Total;595
Melilla;Mujeres;Total;Total;492
España;Mujeres;Total;Centros públicos;137424
Andalucía;Mujeres;Total;Centros públicos;23597
Aragón;Mujeres;Total;Centros públicos;3857
Asturias, Principado de;Mujeres;Total;Centros públicos;3322
Balears, Illes;Mujeres;Total;Centros públicos;2752
Canarias;Mujeres;Total;Centros públicos;9803
Cantabria;Mujeres;Total;Centros públicos;2147
Castilla y León;Mujeres;Total;Centros públicos;6534
Castilla-La Mancha;Mujeres;Total;Centros públicos;7152
Cataluña;Mujeres;Total;Centros públicos;22224
Comunitat Valenciana;Mujeres;Total;Centros públicos;16141
Extremadura;Mujeres;Total;Centros públicos;9065
Galicia;Mujeres;Total;Centros públicos;9837
Madrid, Comunidad de;Mujeres;Total;Centros públicos;13874
Murcia, Región de;Mujeres;Total;Centros públicos;4350
Navarra, Comunidad Foral de;Mujeres;Total;Centros públicos;1510
País Vasco;Mujeres;Total;Centros públicos;4336
Rioja, La;Mujeres;Total;Centros públicos;1298
Ceuta;Mujeres;Total;Centros públicos;595
Melilla;Mujeres;Total;Centros públicos;492
España;Mujeres;Total;Centros privados;59485
Andalucía;Mujeres;Total;Centros privados;11233
Aragón;Mujeres;Total;Centros privados;970
Asturias, Principado de;Mujeres;Total;Centros privados;778
Balears, Illes;Mujeres;Total;Centros privados;461
Canarias;Mujeres;Total;Centros privados;1560
Cantabria;Mujeres;Total;Centros privados;941
Castilla y León;Mujeres;Total;Centros privados;2002
Castilla-La Mancha;Mujeres;Total;Centros privados;884
Cataluña;Mujeres;Total;Centros privados;17205
Comunitat Valenciana;Mujeres;Total;Centros privados;4771
Extremadura;Mujeres;Total;Centros privados;3815
Galicia;Mujeres;Total;Centros privados;1965
Madrid, Comunidad de;Mujeres;Total;Centros privados;10169
Murcia, Región de;Mujeres;Total;Centros privados;1719
Navarra, Comunidad Foral de;Mujeres;Total;Centros privados;512
País Vasco;Mujeres;Total;Centros privados;3591
Rioja, La;Mujeres;Total;Centros privados;239
Ceuta;Mujeres;Total;Centros privados;0
Melilla;Mujeres;Total;Centros privados;0
España;Mujeres;Presencial;Total;160408
Andalucía;Mujeres;Presencial;Total;30884
Aragón;Mujeres;Presencial;Total;3605
Asturias, Principado de;Mujeres;Presencial;Total;3227
Balears, Illes;Mujeres;Presencial;Total;2497
Canarias;Mujeres;Presencial;Total;7144
Cantabria;Mujeres;Presencial;Total;1953
Castilla y León;Mujeres;Presencial;Total;7091
Castilla-La Mancha;Mujeres;Presencial;Total;6017
Cataluña;Mujeres;Presencial;Total;27697
Comunitat Valenciana;Mujeres;Presencial;Total;20495
Extremadura;Mujeres;Presencial;Total;12463
Galicia;Mujeres;Presencial;Total;10056
Madrid, Comunidad de;Mujeres;Presencial;Total;20051
Murcia, Región de;Mujeres;Presencial;Total;5082
Navarra, Comunidad Foral de;Mujeres;Presencial;Total;1590
País Vasco;Mujeres;Presencial;Total;7736
Rioja, La;Mujeres;Presencial;Total;1012
Ceuta;Mujeres;Presencial;Total;470
Melilla;Mujeres;Presencial;Total;379
España;Mujeres;Presencial;Centros públicos;114583
Andalucía;Mujeres;Presencial;Centros públicos;20914
Aragón;Mujeres;Presencial;Centros públicos;2732
Asturias, Principado de;Mujeres;Presencial;Centros públicos;2522
Balears, Illes;Mujeres;Presencial;Centros públicos;2080
Canarias;Mujeres;Presencial;Centros públicos;6308
Cantabria;Mujeres;Presencial;Centros públicos;1253
Castilla y León;Mujeres;Presencial;Centros públicos;5323
Castilla-La Mancha;Mujeres;Presencial;Centros públicos;5333
Cataluña;Mujeres;Presencial;Centros públicos;18162
Comunitat Valenciana;Mujeres;Presencial;Centros públicos;15724
Extremadura;Mujeres;Presencial;Centros públicos;8648
Galicia;Mujeres;Presencial;Centros públicos;8153
Madrid, Comunidad de;Mujeres;Presencial;Centros públicos;12432
Murcia, Región de;Mujeres;Presencial;Centros públicos;3815
Navarra, Comunidad Foral de;Mujeres;Presencial;Centros públicos;1128
País Vasco;Mujeres;Presencial;Centros públicos;4145
Rioja, La;Mujeres;Presencial;Centros públicos;773
Ceuta;Mujeres;Presencial;Centros públicos;470
Melilla;Mujeres;Presencial;Centros públicos;379
España;Mujeres;Presencial;Centros privados;45825
Andalucía;Mujeres;Presencial;Centros privados;9970
Aragón;Mujeres;Presencial;Centros privados;873
Asturias, Principado de;Mujeres;Presencial;Centros privados;705
Balears, Illes;Mujeres;Presencial;Centros privados;417
Canarias;Mujeres;Presencial;Centros privados;836
Cantabria;Mujeres;Presencial;Centros privados;700
Castilla y León;Mujeres;Presencial;Centros privados;1768
Castilla-La Mancha;Mujeres;Presencial;Centros privados;684
Cataluña;Mujeres;Presencial;Centros privados;9535
Comunitat Valenciana;Mujeres;Presencial;Centros privados;4771
Extremadura;Mujeres;Presencial;Centros privados;3815
Galicia;Mujeres;Presencial;Centros privados;1903
Madrid, Comunidad de;Mujeres;Presencial;Centros privados;7619
Murcia, Región de;Mujeres;Presencial;Centros privados;1267
Navarra, Comunidad Foral de;Mujeres;Presencial;Centros privados;462
País Vasco;Mujeres;Presencial;Centros privados;3591
Rioja, La;Mujeres;Presencial;Centros privados;239
Ceuta;Mujeres;Presencial;Centros privados;0
Melilla;Mujeres;Presencial;Centros privados;0
España;Mujeres;Distancia;Total;36501
Andalucía;Mujeres;Distancia;Total;3946
Aragón;Mujeres;Distancia;Total;1222
Asturias, Principado de;Mujeres;Distancia;Total;873
Balears, Illes;Mujeres;Distancia;Total;716
Canarias;Mujeres;Distancia;Total;4219
Cantabria;Mujeres;Distancia;Total;1135
Castilla y León;Mujeres;Distancia;Total;1445
Castilla-La Mancha;Mujeres;Distancia;Total;2019
Cataluña;Mujeres;Distancia;Total;11732
Comunitat Valenciana;Mujeres;Distancia;Total;417
Extremadura;Mujeres;Distancia;Total;417
Galicia;Mujeres;Distancia;Total;1746
Madrid, Comunidad de;Mujeres;Distancia;Total;3992
Murcia, Región de;Mujeres;Distancia;Total;987
Navarra, Comunidad Foral de;Mujeres;Distancia;Total;432
País Vasco;Mujeres;Distancia;Total;191
Rioja, La;Mujeres;Distancia;Total;525
Ceuta;Mujeres;Distancia;Total;125
Melilla;Mujeres;Distancia;Total;113
España;Mujeres;Distancia;Centros públicos;22841
Andalucía;Mujeres;Distancia;Centros públicos;2683
Aragón;Mujeres;Distancia;Centros públicos;1125
Asturias, Principado de;Mujeres;Distancia;Centros públicos;800
Balears, Illes;Mujeres;Distancia;Centros públicos;672
Canarias;Mujeres;Distancia;Centros públicos;3495
Cantabria;Mujeres;Distancia;Centros públicos;894
Castilla y León;Mujeres;Distancia;Centros públicos;1211
Castilla-La Mancha;Mujeres;Distancia;Centros públicos;1819
Cataluña;Mujeres;Distancia;Centros públicos;4062
Comunitat Valenciana;Mujeres;Distancia;Centros públicos;417
Extremadura;Mujeres;Distancia;Centros públicos;417
Galicia;Mujeres;Distancia;Centros públicos;1684
Madrid, Comunidad de;Mujeres;Distancia;Centros públicos;1442
Murcia, Región de;Mujeres;Distancia;Centros públicos;535
Navarra, Comunidad Foral de;Mujeres;Distancia;Centros públicos;382
País Vasco;Mujeres;Distancia;Centros públicos;191
Rioja, La;Mujeres;Distancia;Centros públicos;525
Ceuta;Mujeres;Distancia;Centros públicos;125
Melilla;Mujeres;Distancia;Centros públicos;113
España;Mujeres;Distancia;Centros privados;13660
Andalucía;Mujeres;Distancia;Centros privados;1263
Aragón;Mujeres;Distancia;Centros privados;97
Asturias, Principado de;Mujeres;Distancia;Centros privados;73
Balears, Illes;Mujeres;Distancia;Centros privados;44
Canarias;Mujeres;Distancia;Centros privados;724
Cantabria;Mujeres;Distancia;Centros privados;241
Castilla y León;Mujeres;Distancia;Centros privados;234
Castilla-La Mancha;Mujeres;Distancia;Centros privados;200
Cataluña;Mujeres;Distancia;Centros privados;7670
Comunitat Valenciana;Mujeres;Distancia;Centros privados;0
Extremadura;Mujeres;Distancia;Centros privados;0
Galicia;Mujeres;Distancia;Centros privados;62
Madrid, Comunidad de;Mujeres;Distancia;Centros privados;2550
Murcia, Región de;Mujeres;Distancia;Centros privados;452
Navarra, Comunidad Foral de;Mujeres;Distancia;Centros privados;50
País Vasco;Mujeres;Distancia;Centros privados;0
Rioja, La;Mujeres;Distancia;Centros privados;0
Ceuta;Mujeres;Distancia;Centros privados;0
Melilla;Mujeres;Distancia;Centros privados;0
